uuid,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle
4c41ad31-03a0-4cf4-909e-5aebae0ab19b,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,1,0,1,0,3,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,9,0,0,5,0,6,0,1,0,2,0,0,0,3,0,0,0,0,0,0
4edd9d71-6c73-43b0-8367-ec360c3408a1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115e3ec7-c52d-4ceb-a567-e333ce47e0c9,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,2,6,0,0,0,0,5,0,1,0,0,8,0,1,0,0,0,0,0,0,0
c23b33d4-1b36-43a3-a166-de1386013b4a,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,1,0,1,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,13,0,0,0,0,0,0,0,0,1
15a8dff1-8f72-4af3-b9b5-9b8c9af83104,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,7,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,6,0,1,0,0,6,0,3,0,0,11,0,1,0,0,0,1,0,0,0
b3c761e6-98b1-443a-b60f-6c49792fbbed,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,7,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,1,0,1
fb585bb8-aaa5-416b-880f-bd811ee85a09,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,2,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0
66f1dc4b-efff-4149-8a24-b230d5f949e6,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,9,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,0,4,0,0,13,0,0,0,0,0,0,0,0,1
feb31f70-8974-455d-91a9-467239747081,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
7603a0e5-fae1-4bff-8273-b85837cfbcf6,0,0,1,1,0,0,0,1,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,6,0,0,5,0,7,0,1,0,0,3,0,0,0,0,0,0,0,0,0
e9a5ff7f-5f30-42ac-8371-299ec99bf40d,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0
973c2c32-55bb-4c51-af39-23493679d26f,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,9,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,5,0,2,0,0,5,0,2,0,0,12,0,1,0,0,0,2,0,0,0
4099bc32-1539-417f-abb7-f0e11fb4f543,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,6,1,0,0,0,0,3,0,0,0,5,0,0,5,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0
b46907dc-5c7a-4851-958f-96f71da9d6e8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,16,0,1,0,0,0,0,0,0,0
cbe01574-c449-41cd-adbf-7f0baafdc13e,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,4,0,0,1,3,5,0,2,0,0,11,0,1,0,0,0,0,0,0,0
da99fd9c-8a91-4259-8018-ca6a5998026d,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,1
14eaed40-1030-48cf-b8e4-9141bccd2013,0,0,1,1,0,0,0,1,2,1,0,0,0,1,0,1,0,1,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5,0,0,0,2,0,0,0,0,0,3,0,0,5,0,4,0,1,0,3,3,0,1,2,0,0,0,0,0,0
4dc15fca-906b-407a-a377-5331b0230b59,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,6,0,1,0,0,0,0,0,0,0
58ba4f53-acb2-413c-9ca3-afe856278ab1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,0,2,0,0,4,0,0,0,1,11,0,1,0,0,0,0,0,0,0
d11815fb-a336-49ce-a509-06f16c758708,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,4,1,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,12,0,0,0,0,0,0,0,0,0
addbd0d7-fdde-465b-864c-51e342bfa25d,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,6,0,0,4,0,9,0,1,0,2,3,0,0,1,0,0,0,0,0,0
f4f596fb-66e3-4fa1-bc82-15ed7eb73343,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ae62555a-4b80-40c7-adbf-90265464a977,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0fa8532f-156c-42db-8696-2e104fa5088c,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,2,1,0,0,1,0,0,1,0,3,0,0,5,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,1
6ca0dcdc-6886-4297-99d4-0c326b1afef6,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0
9f214df3-3d50-45bd-a43d-88cabd611e9a,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
1131442f-f67f-4d16-b1f5-87439fc56ebf,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,14,0,1,0,0,0,1,0,0,0
db522a34-579f-41d6-a812-ed3df30e36eb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92b6aa0a-ee12-45eb-8d7d-56c32f5de619,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,5,0,0,8,0,4,0,0,0,0,4,0,3,0,0,0,0,0,0,0
06129dab-7e25-4900-bc50-3afc5cafa321,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83d8e112-62c2-4546-aed2-23493c23bec9,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,1,0,0,0,0,0,0,0
1b091d15-4637-4306-aff7-0312b89d4a93,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
a1c98422-2277-4185-be5c-53485f5a9e68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,18,0,1,0,0,0,0,0,0,0
ab6d4252-09d4-42d4-b479-1cef6d8676c6,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,14,4,0,0,0,0,0,0,0,0,2,5,0,0,0,0,2,0,4,0,0,8,0,0,0,0,0,0,0,0,0
c2fe0689-6484-469d-a5d4-13f37eebb7e6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,12,0,1,0,0,0,0,0,0,0
0c021fda-e61c-49f0-83ed-5e47a0eb086b,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,0,0,5,0,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0
5d14f52f-52e6-46e8-b5ce-d39bb6c9a268,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cc775d66-2c72-491e-90a0-485a74e0d609,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,16,0,0,0,0,13,0,3,0,0,0,0,0,0,0
f8dab6cd-67a7-4879-be7c-ca159cd51527,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0
9e1f0817-d7b4-4413-901a-644fd7de053e,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
53dce5fc-33db-426c-9494-89c2b1a985e9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,18,0,1,0,0,0,0,0,0,0
e6e2cf2e-7cf8-47bf-b523-fc4eb7a45100,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,7,0,1,10,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0
a3ac8864-14d8-4e81-9262-05f64965cbf6,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,0,0,0,3,0,0,0,0,0,2,0,0,0,0,7,1,1,0,0,6,0,1,0,1,0,2,0,0,0
53656426-69ad-4b5f-aeb7-c0b6578761e3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
23522a36-88ba-4873-a73b-9ec243e4e543,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba67563d-de73-46b0-aedb-b2a11e16e6b6,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,6,3,0,0,0,0,3,0,0,0,5,0,0,6,1,2,1,0,0,0,3,0,0,0,0,0,0,1,0,0
ac9263d9-b0c6-417e-802f-9b5efe61cf98,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,7,1,0,0,0,0,2,0,0,0,3,0,1,5,0,3,0,1,0,0,3,0,0,0,0,0,0,1,0,0
3aed155d-78f4-433a-a495-e856409b6806,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,1
a85bbd1a-efc2-4392-97db-6430b49c48f2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
41af8b42-9045-4bfe-9b9c-126f531ad0e2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
