uuid,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle,Total
4c41ad31-03a0-4cf4-909e-5aebae0ab19b,0,0,29627,44406,0,0,0,0,35238,172900,0,0,0,3449631,0,843858,0,2740301,0,29606,227,0,0,0,1756182,0,0,944791,0,0,102125,0,0,0,0,67051,0,0,0,88376,0,0,0,0,0,82057,0,0,48440,0,38325,0,104263,0,0,0,0,0,926054,0,0,0,0,0,0,11503458
4edd9d71-6c73-43b0-8367-ec360c3408a1,0,0,0,0,0,0,0,0,0,0,0,17704,0,350376,0,0,0,0,0,14560,0,0,0,0,0,0,0,238692,0,2736,2490808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3115140
115e3ec7-c52d-4ceb-a567-e333ce47e0c9,0,0,72535,0,0,0,0,0,0,0,23222,0,0,5823285,0,220153,0,3651130,0,0,0,0,0,0,432473,0,0,697292,0,0,0,0,0,0,43785,327127,0,0,0,0,0,0,0,0,664,78753,0,0,0,0,27710,0,0,0,0,333066,0,110057,0,0,0,0,0,0,0,11841252
c23b33d4-1b36-43a3-a166-de1386013b4a,0,0,6042,0,0,0,11260,0,0,0,7284,0,0,406376,0,34169,0,573998,0,3226,0,0,0,0,19458,0,0,491208,0,0,52036,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,1936,0,0,0,2811,1042,0,0,0,0,99335,0,0,0,0,0,0,0,0,359782,2071118
15a8dff1-8f72-4af3-b9b5-9b8c9af83104,0,0,44348,5752,0,0,0,0,0,0,1116,0,0,1482508,0,181000,0,638476,0,4264,0,0,0,0,0,0,0,161080,0,10740,379112,0,0,0,0,5532,11204,0,0,0,0,0,0,0,0,1336,0,1080,0,0,7436,0,6564,0,0,116616,0,29436,0,0,0,5640,0,0,0,3093240
b3c761e6-98b1-443a-b60f-6c49792fbbed,0,0,2799,0,0,0,0,0,0,0,0,0,0,387342,0,19593,0,563630,0,11832,0,0,0,1372,25512,0,0,480922,0,0,9752,0,0,0,0,8758,0,0,0,0,0,0,0,0,0,4028,0,0,0,0,0,0,0,0,27543,121886,0,5509,0,0,0,0,1168,0,351546,2023192
fb585bb8-aaa5-416b-880f-bd811ee85a09,0,0,0,0,0,0,0,0,47191,0,0,0,0,5877071,0,89081,0,2772200,0,2588,0,0,0,29750,597986,0,0,1110881,0,770,772603,0,0,0,0,59222,0,0,0,0,0,0,0,0,0,48295,0,0,18847,0,0,4059,110282,0,0,106898,0,0,0,0,0,0,0,0,0,11647724
66f1dc4b-efff-4149-8a24-b230d5f949e6,0,0,4953,0,0,0,57713,0,0,70845,0,0,0,6033240,0,296865,0,3701439,0,0,0,0,0,0,0,0,0,622225,0,0,14104,0,25376,0,11711,43979,0,0,0,0,0,0,0,0,0,38008,0,2462,0,0,18693,0,39482,0,0,804920,0,0,0,0,0,0,0,0,101988,11888003
feb31f70-8974-455d-91a9-467239747081,0,0,0,20254,0,0,0,0,0,0,0,453958,0,0,0,43838,0,600256,0,12445,0,0,0,0,0,0,0,434094,0,0,69004,0,0,5803,0,7832,0,0,0,0,0,0,0,0,0,3473,0,0,0,0,0,0,9820,0,7387,0,0,0,0,0,0,0,0,0,0,1668164
7603a0e5-fae1-4bff-8273-b85837cfbcf6,0,0,34506,61750,0,0,0,227,25382,169490,0,0,0,3518296,0,844145,0,3331246,0,0,0,0,0,20963,1901918,0,0,945451,0,12516,294189,0,0,0,0,0,0,0,0,61309,0,0,0,0,0,79172,0,0,51398,0,128935,0,104781,0,0,20413,0,0,0,0,0,0,0,0,0,11606087
e9a5ff7f-5f30-42ac-8371-299ec99bf40d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5592,0,485228,0,1556,0,0,0,0,0,0,0,495381,0,0,106000,0,0,0,0,1494,0,0,0,0,0,0,0,0,0,1286,0,0,0,0,0,0,0,0,0,127593,0,63192,0,0,0,0,0,0,0,1287322
973c2c32-55bb-4c51-af39-23493679d26f,0,0,175967,21707,0,0,17527,0,0,0,0,0,0,5653878,0,690252,0,2394950,0,16902,0,0,0,0,0,0,0,615295,0,30184,1450223,0,0,0,0,19667,43044,0,0,0,0,0,0,0,0,5670,0,19927,0,0,28357,0,24920,0,0,439888,0,111697,0,0,0,24070,0,0,0,11784125
4099bc32-1539-417f-abb7-f0e11fb4f543,0,0,118068,0,0,0,0,40,71528,0,0,0,0,986124,0,310852,0,614644,0,1972,0,0,0,0,275132,0,0,388696,0,0,155872,0,0,0,0,31864,2680,0,0,0,0,7176,0,0,0,18524,0,0,16568,9500,4172,0,28580,0,0,988,0,0,0,0,0,0,0,0,0,3042980
b46907dc-5c7a-4851-958f-96f71da9d6e8,0,0,0,0,0,0,0,0,0,0,0,0,0,5540058,0,0,0,3536772,0,0,0,0,0,0,0,0,0,572822,0,0,10261,0,0,0,0,20138,0,0,0,0,0,0,0,0,0,1154,0,91737,0,0,28541,0,0,0,0,1982113,0,105015,0,0,0,0,0,0,0,11888611
cbe01574-c449-41cd-adbf-7f0baafdc13e,0,0,74104,52252,0,0,74828,0,0,85059,0,0,0,6134736,0,452815,0,3496910,0,0,0,0,0,0,38875,0,0,484056,0,0,200889,0,0,0,0,12166,3258,0,0,0,0,0,0,0,0,338004,0,0,4397,14317,28046,0,25551,0,0,107384,0,112503,0,0,0,0,0,0,0,11740150
da99fd9c-8a91-4259-8018-ca6a5998026d,0,0,19384,0,0,0,0,9610,0,0,0,0,0,345848,0,10315,0,268125,0,1236,0,0,0,1061,101802,0,0,565990,0,44429,245696,0,0,0,0,6119,0,0,0,0,0,0,0,0,0,7096,0,0,0,0,10450,0,0,0,0,34453,0,0,0,0,0,0,0,0,348204,2019818
14eaed40-1030-48cf-b8e4-9141bccd2013,0,0,13643,95452,0,0,0,0,44037,199539,0,0,0,3556674,0,771295,0,2574071,0,152553,0,0,0,0,1822897,0,0,966341,0,0,125764,0,0,0,0,100302,0,0,0,78408,0,0,0,0,0,51138,0,0,49062,0,44649,0,107964,0,38979,4988,0,6004,692102,0,0,0,0,0,0,11495862
4dc15fca-906b-407a-a377-5331b0230b59,0,0,43241,0,0,0,0,0,0,0,0,0,0,5997503,0,59554,0,3736222,0,0,0,0,0,0,0,0,0,753489,0,0,0,0,0,0,0,110811,0,0,0,0,0,0,0,0,0,12732,0,0,0,0,1315,0,0,0,0,1056479,0,107532,0,0,0,0,0,0,0,11878878
58ba4f53-acb2-413c-9ca3-afe856278ab1,0,0,38561,0,0,0,0,0,0,0,21380,0,0,5773632,0,148098,0,2556828,0,0,0,0,0,0,27145,0,0,518290,0,0,1308053,0,0,0,0,416,0,0,0,0,0,0,0,0,2519,24158,0,15353,0,0,29337,0,0,0,0,1314221,0,102801,0,0,0,0,0,0,0,11880792
d11815fb-a336-49ce-a509-06f16c758708,0,0,78348,0,0,0,0,0,0,4036,4088,0,0,1010280,0,191188,0,874300,0,260,0,0,0,63128,124,0,0,457144,0,0,147496,0,0,0,0,17344,0,0,0,0,0,0,0,0,0,31064,0,0,0,0,12348,0,7028,0,0,130004,0,0,0,0,0,0,0,0,0,3028180
addbd0d7-fdde-465b-864c-51e342bfa25d,0,0,49456,10424,0,0,0,0,14616,0,0,0,0,938728,0,217392,0,762040,0,0,0,0,0,0,439584,0,0,249848,0,0,34164,0,0,0,0,17268,0,0,0,16788,0,0,0,0,0,23908,0,0,13104,0,14904,0,27736,0,63172,972,0,0,94640,0,0,0,0,0,0,2988744
f4f596fb-66e3-4fa1-bc82-15ed7eb73343,0,0,0,359940,0,0,0,0,0,0,0,2600,0,0,0,175732,0,0,0,0,0,0,0,0,0,0,0,0,0,44068,2527900,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,9512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3123752
ae62555a-4b80-40c7-adbf-90265464a977,0,0,13389,0,0,0,0,0,0,0,0,0,0,40883,0,121230,0,227943,0,1223,0,0,0,1541,6361,0,0,649227,0,0,160485,0,0,0,0,2688,0,0,0,0,0,0,0,0,0,4950,0,0,0,0,8489,0,0,0,0,1322,0,0,0,0,0,0,0,0,0,1239731
0fa8532f-156c-42db-8696-2e104fa5088c,0,0,28565,0,0,0,0,0,0,0,12244,0,0,5731484,0,90800,0,2588981,0,0,0,0,0,65525,50127,0,0,708095,0,0,19474,0,8435,0,0,319709,0,0,0,7440,0,64625,0,0,0,11961,0,0,0,0,0,0,0,0,0,2039521,0,35818,0,0,0,0,0,0,99422,11882226
6ca0dcdc-6886-4297-99d4-0c326b1afef6,0,0,17421,58349,0,0,0,0,0,0,24670,0,0,5762747,0,91733,0,3680546,0,0,0,0,0,256,80,0,0,598586,0,0,40606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18491,0,0,0,0,6288,0,0,0,0,1522826,0,0,0,0,0,0,0,0,0,11822599
9f214df3-3d50-45bd-a43d-88cabd611e9a,0,0,10063,0,0,0,0,0,0,0,0,0,0,480023,0,12915,0,69554,0,0,0,0,0,0,46540,0,0,399311,0,24014,566606,0,0,0,0,9717,0,0,0,0,0,0,0,0,0,9721,0,0,0,0,0,0,0,0,4134,11079,0,0,0,0,0,0,0,0,351251,1994928
1131442f-f67f-4d16-b1f5-87439fc56ebf,0,0,16189,0,0,0,0,0,0,0,0,0,0,5429821,0,65184,0,3400897,0,0,0,0,0,0,0,0,0,554320,0,0,128924,0,0,0,0,50441,0,0,0,0,0,13257,0,0,0,13994,0,0,0,0,0,12423,0,0,0,2099912,0,104768,0,0,0,4498,0,0,0,11894628
db522a34-579f-41d6-a812-ed3df30e36eb,0,0,0,0,0,0,0,0,0,0,0,328596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116592,0,0,2569800,0,0,59480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3074468
92b6aa0a-ee12-45eb-8d7d-56c32f5de619,0,0,71890,0,0,0,110923,0,49204,0,0,0,0,5852499,0,273578,0,3501386,0,328,0,0,0,0,470115,0,0,1007144,0,0,25274,0,0,0,0,28988,6789,0,0,0,0,7334,0,0,0,105864,0,0,51585,0,47092,0,0,0,0,17807,0,124501,0,0,0,0,0,0,0,11752301
06129dab-7e25-4900-bc50-3afc5cafa321,0,0,0,114191,0,0,13782,0,0,0,0,0,0,450786,0,0,0,480944,0,13470,0,0,0,0,0,0,0,466199,4239,0,107033,0,0,0,0,3653,0,0,0,0,0,0,0,0,0,10131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347032,2011460
83d8e112-62c2-4546-aed2-23493c23bec9,0,0,4718,126088,0,0,0,0,0,0,29909,0,0,5810558,0,88069,0,2912975,0,0,0,0,0,0,25796,0,0,1406522,0,0,107764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,1286992,0,107947,0,0,0,0,0,0,0,11907418
1b091d15-4637-4306-aff7-0312b89d4a93,0,0,6120,0,0,0,0,0,0,0,2408,0,0,1270196,0,34804,0,477184,0,0,0,0,0,0,0,0,0,606272,0,27376,346920,0,68,0,0,5480,0,0,0,0,0,0,0,0,0,6840,0,1316,0,0,0,0,0,0,0,326268,0,0,0,0,0,0,0,0,0,3111252
a1c98422-2277-4185-be5c-53485f5a9e68,0,0,0,0,0,0,0,0,0,0,0,0,0,1452368,0,0,0,927108,0,0,0,0,0,0,0,0,0,149612,0,0,2896,0,0,0,0,5008,0,0,0,0,0,0,0,0,0,420,0,24104,0,0,7464,0,0,0,0,522280,0,26924,0,0,0,0,0,0,0,3118184
ab6d4252-09d4-42d4-b479-1cef6d8676c6,0,0,0,18479,0,0,0,165754,0,0,0,0,0,5759794,0,73675,0,4053811,0,80,0,0,0,0,48929,0,0,524557,0,0,0,0,8112,0,65013,43398,0,0,0,0,0,0,0,0,1584,22929,0,0,0,0,1365,0,44435,0,0,890602,0,0,0,0,0,0,0,0,0,11722517
c2fe0689-6484-469d-a5d4-13f37eebb7e6,0,0,36394,0,0,0,0,0,0,0,17108,0,0,5749347,0,236242,0,4087775,0,0,0,0,0,0,0,0,0,623319,0,0,0,0,0,0,0,26568,0,0,0,0,0,0,0,0,0,22367,0,0,0,0,0,0,40750,0,77,963908,0,102515,0,0,0,0,0,0,0,11906370
0c021fda-e61c-49f0-83ed-5e47a0eb086b,0,0,20928,68470,0,0,0,0,0,183612,0,0,0,3129024,0,828267,0,3240324,0,0,0,0,0,69932,1901591,0,0,951078,0,13930,330900,0,0,0,0,50730,0,0,0,59092,0,0,0,0,0,75539,0,0,52826,0,30584,0,105843,0,0,19280,0,0,0,0,0,0,0,0,0,11131950
5d14f52f-52e6-46e8-b5ce-d39bb6c9a268,0,0,0,0,0,0,0,0,0,0,0,2888,0,428880,0,0,0,0,0,0,0,0,0,0,0,0,0,19220,0,0,2685136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3136124
cc775d66-2c72-491e-90a0-485a74e0d609,0,0,18725,0,0,0,0,0,0,34297,925,0,0,5708239,0,167648,0,3782139,0,1690,0,0,0,0,26592,0,0,525777,0,0,152798,0,0,0,0,50040,0,0,0,0,0,0,0,0,0,23396,0,0,0,18704,88317,0,0,0,0,1166866,0,116259,0,0,0,0,0,0,0,11882412
f8dab6cd-67a7-4879-be7c-ca159cd51527,0,0,4872,0,0,0,0,0,0,0,328523,0,0,4455377,0,1832,0,2479120,0,2700,0,0,0,6374,553618,0,0,737706,0,0,451477,0,0,0,0,76317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105559,0,0,2637123,0,0,0,0,0,0,0,0,0,11840598
9e1f0817-d7b4-4413-901a-644fd7de053e,0,0,9516,0,0,0,0,0,0,66536,0,0,6512,1340436,0,284408,0,984288,0,0,0,0,0,3228,29992,0,0,184560,0,1220,22468,0,0,9304,0,0,0,0,0,0,0,756,0,0,0,28536,0,0,0,0,0,0,44,0,113724,0,0,27072,0,0,0,0,0,0,0,3112600
53dce5fc-33db-426c-9494-89c2b1a985e9,0,0,0,0,0,0,0,0,0,0,15248,0,0,5705346,0,0,0,2039259,0,11241,0,0,0,0,0,0,0,439500,0,0,1775562,0,0,0,0,38641,0,0,0,0,0,0,0,0,0,5362,0,0,0,0,0,0,0,0,0,1753155,0,106833,0,0,0,0,0,0,0,11890147
e6e2cf2e-7cf8-47bf-b523-fc4eb7a45100,0,0,25736,476,0,0,0,0,739672,0,0,0,0,445500,0,72500,0,785288,0,748,0,0,0,0,417192,0,0,223832,0,0,120388,0,0,0,0,8508,0,0,0,0,0,1408,0,0,0,36728,0,6360,18472,0,11552,0,30288,0,0,6732,0,0,0,0,0,0,0,0,0,2951380
a3ac8864-14d8-4e81-9262-05f64965cbf6,0,0,34452,19100,0,0,33716,0,0,0,0,0,0,1486360,0,175108,0,581976,0,3764,0,0,0,0,0,0,0,186464,0,0,360684,0,0,0,0,4020,0,0,0,32696,0,0,0,0,0,5180,0,0,0,0,9684,2036,0,0,0,76764,0,30444,0,9732,0,16248,0,0,0,3068428
53656426-69ad-4b5f-aeb7-c0b6578761e3,0,0,290648,0,0,0,0,0,0,0,0,0,0,5507180,0,607450,0,4102914,0,0,0,0,0,0,242700,0,0,623698,0,0,22773,0,0,0,0,140819,0,0,0,0,0,0,0,0,0,4811,0,40139,0,0,0,0,0,0,0,149903,0,0,0,0,0,0,0,0,108238,11841273
23522a36-88ba-4873-a73b-9ec243e4e543,0,0,64516,0,0,0,0,0,0,0,0,1436,0,0,0,273596,0,1253632,0,0,0,0,0,0,0,0,0,0,0,0,1513180,0,0,8624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3114984
ba67563d-de73-46b0-aedb-b2a11e16e6b6,0,0,366076,0,0,0,0,0,1778955,0,0,0,0,2591221,0,1161802,0,1913694,0,0,0,0,0,72127,513734,0,0,1535370,0,0,657207,0,0,0,0,216295,295455,0,0,0,0,6046,0,0,0,112809,0,0,63735,7231,40531,28821,0,0,0,34471,0,0,0,0,0,0,101492,0,0,11497072
ac9263d9-b0c6-417e-802f-9b5efe61cf98,0,0,94204,0,0,0,0,0,679900,0,0,0,0,448420,0,304240,0,491708,0,0,0,0,0,113124,55512,0,0,399532,0,0,179040,0,0,0,0,53576,74392,0,0,0,0,88,0,0,0,17452,0,2112,13852,0,11856,0,0,0,0,83400,0,0,0,0,0,0,27148,0,0,3049556
3aed155d-78f4-433a-a495-e856409b6806,0,0,5885,0,0,0,0,0,0,0,13467,0,0,5709778,0,42568,0,3805996,0,0,0,0,0,1902,2925,0,0,562779,0,0,11316,0,0,0,0,100882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22577,0,0,0,1500059,0,0,0,0,0,0,0,0,102912,11883046
a85bbd1a-efc2-4392-97db-6430b49c48f2,0,0,0,0,0,0,0,0,0,0,0,496687,0,0,0,0,0,559159,0,12078,0,0,0,0,0,0,0,452782,0,740,96292,0,0,3762,0,9701,0,0,0,0,0,0,0,0,0,13203,0,0,0,0,0,1950,0,0,0,6545,0,0,0,0,0,0,0,0,0,1652899
41af8b42-9045-4bfe-9b9c-126f531ad0e2,0,0,0,0,0,0,0,0,0,0,0,2000,0,610088,0,0,0,13108,0,4740,0,0,0,0,0,0,0,170736,0,0,2333760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3134432
