,uuid,source,orig_id,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,void
0,fc27f6bd-3315-43d0-ab7d-c2529bd09b03,Mapillary,487029289408518,0.2919,0.0761,0.3144,0.0007,0.0012,0.0012,0.0,0.0002,0.1101,0.0,0.1142,0.082,0.0007,0.004,0.0016,0.0,0.0,0.0004,0.0013,0.0
1,ee2b4204-62b0-4a10-973d-5fe5d2c9f606,Mapillary,1911949492302126,0.3785,0.0849,0.0096,0.0049,0.0001,0.0049,0.0002,0.0011,0.3125,0.0921,0.0757,0.0011,0.0003,0.0333,0.0,0.0,0.0,0.0002,0.0005,0.0
2,eaa66d84-b317-4588-9e20-2b62aa22cfd8,Mapillary,4014873981891494,0.2488,0.0427,0.3105,0.0931,0.0002,0.0023,0.0001,0.0002,0.1668,0.0067,0.1078,0.0008,0.0,0.0193,0.0,0.0,0.0,0.0,0.0005,0.0
3,e91e9014-37ab-48a2-bd7a-cddf9c5c399b,Mapillary,1613619158839928,0.4574,0.1444,0.0266,0.0169,0.0038,0.0135,0.0,0.0022,0.1734,0.0175,0.1436,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0
4,e13ead66-a9d1-4a5d-87b3-87481fabdf4a,Mapillary,251788460030794,0.4465,0.054,0.0985,0.001,0.0023,0.0209,0.0001,0.0075,0.2162,0.0982,0.0446,0.0002,0.0,0.0096,0.0002,0.0001,0.0,0.0,0.0,0.0
5,dbcc3663-49d1-4c05-a6ed-4dc3ae6f6061,Mapillary,162325112503024,0.3048,0.0337,0.1716,0.0794,0.0558,0.0056,0.0,0.0159,0.1435,0.023,0.1445,0.0001,0.0,0.0181,0.004,0.0,0.0,0.0,0.0002,0.0
6,db090b0b-b6e9-4318-a432-225d83109542,Mapillary,227488628823257,0.3667,0.084,0.0057,0.0035,0.0084,0.0104,0.0005,0.0013,0.2726,0.103,0.1047,0.0024,0.0,0.036,0.0008,0.0,0.0,0.0,0.0,0.0
7,d784ff3c-b45a-424a-ac7d-eb366d8dd995,Mapillary,302823854649153,0.5351,0.0396,0.0267,0.0009,0.0004,0.0018,0.0,0.0006,0.2174,0.0059,0.0263,0.1144,0.0,0.0013,0.0131,0.0,0.0,0.0,0.0164,0.0
8,d4cd4b7b-aec9-4525-b9d5-8bab201bf8c5,Mapillary,1573577382835548,0.2865,0.0433,0.3951,0.0,0.0012,0.0069,0.0,0.0011,0.0536,0.0014,0.0645,0.0001,0.0,0.146,0.0,0.0,0.0,0.0,0.0002,0.0
9,be2527d0-0b21-4000-90eb-40f0d3e33367,Mapillary,762759514391120,0.0784,0.3023,0.5755,0.0,0.0,0.0035,0.0,0.0019,0.0001,0.0044,0.025,0.0,0.0,0.0087,0.0,0.0,0.0,0.0,0.0,0.0
10,a794bad2-a826-47c7-8417-54ef6e9d3fd5,Mapillary,1085842441905172,0.471,0.1442,0.0192,0.006,0.0264,0.0225,0.0001,0.0005,0.1233,0.0179,0.1633,0.0044,0.0,0.0004,0.0004,0.0001,0.0005,0.0,0.0,0.0
11,a3ddd13d-a6bf-4abe-bc97-0e896ddbb58c,Mapillary,129497249124621,0.2399,0.0023,0.0179,0.0,0.0206,0.0044,0.0,0.0001,0.6077,0.0814,0.0229,0.0,0.0,0.0026,0.0001,0.0001,0.0,0.0,0.0,0.0
12,97fb0fd9-6b8e-480b-967b-ab86c89f427b,Mapillary,2643856569248041,0.4799,0.084,0.1984,0.0001,0.0035,0.0115,0.0001,0.0089,0.1295,0.0002,0.0367,0.0195,0.0007,0.0148,0.0,0.0031,0.004,0.0001,0.0052,0.0
13,964c05a7-364a-4a23-9e36-b9dae57e6709,Mapillary,216443753376621,0.2429,0.1686,0.0436,0.0013,0.0057,0.0053,0.0,0.0005,0.2621,0.085,0.0635,0.0002,0.0,0.1105,0.0092,0.0013,0.0,0.0002,0.0001,0.0
14,8b301438-9498-489a-996e-2ec60cef760f,Mapillary,801320764136858,0.5161,0.0136,0.2072,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2618,0.0,0.0,0.0,0.0,0.0,0.0
15,6fa67d91-0bf5-4914-a1c5-4859a6cedfbd,Mapillary,531109791599907,0.1581,0.0902,0.4324,0.0019,0.0,0.0013,0.0004,0.0006,0.0081,0.0,0.1359,0.0013,0.0,0.1696,0.0,0.0,0.0,0.0,0.0003,0.0
16,6c0dcd34-b7da-4324-8541-61da9c879b2f,Mapillary,555931662062869,0.3723,0.0475,0.0435,0.0012,0.0,0.0139,0.0002,0.0008,0.1333,0.1631,0.1921,0.0,0.0,0.0321,0.0001,0.0,0.0,0.0,0.0,0.0
17,5a51ac08-742a-4808-90e9-440c6c03461c,Mapillary,305726617676665,0.0913,0.0826,0.4033,0.0006,0.005,0.0007,0.0,0.0007,0.0,0.0,0.059,0.3529,0.0,0.0024,0.0,0.0,0.0,0.0001,0.0015,0.0
18,58c85061-021f-4122-b3b5-a2470f35c341,Mapillary,871477950414260,0.3126,0.1637,0.2052,0.0021,0.0,0.0188,0.0004,0.0002,0.0687,0.0,0.1392,0.0824,0.0019,0.0007,0.0,0.0,0.0,0.0002,0.0036,0.0
19,4f0e9070-13a5-4ea3-bcb9-6666862b2fad,Mapillary,390987432221616,0.0882,0.0281,0.1548,0.0024,0.0239,0.0051,0.0,0.0002,0.0817,0.0,0.289,0.0,0.0,0.3256,0.0009,0.0,0.0,0.0,0.0,0.0
20,4d2c563d-5241-49d1-addf-3c096c0534a2,Mapillary,886187308918211,0.2281,0.0575,0.3015,0.0,0.0,0.001,0.0,0.0,0.0005,0.0,0.2569,0.0029,0.0,0.144,0.0001,0.0,0.0,0.0,0.0074,0.0
21,4c352b2d-ec50-4c52-ad4c-24a67a0da110,Mapillary,2967575596859955,0.2688,0.0229,0.0361,0.0185,0.0139,0.0054,0.0,0.0033,0.1868,0.0043,0.4087,0.0,0.0,0.0227,0.005,0.0,0.0,0.0039,0.0,0.0
22,41c85f14-2ed6-42f7-b2f2-fd2318d70eea,Mapillary,149717844218275,0.3077,0.0362,0.4389,0.0025,0.0001,0.0006,0.0,0.0,0.0027,0.0,0.07,0.0521,0.0003,0.0003,0.0,0.0,0.0,0.0053,0.0831,0.0
23,3a4b60ca-5f62-4a3a-a255-e16a211554a9,Mapillary,912307629327688,0.1015,0.015,0.0467,0.0182,0.0032,0.0063,0.0005,0.0017,0.2103,0.0,0.2273,0.0,0.0,0.3692,0.0001,0.0,0.0,0.0,0.0,0.0
24,3997a807-6d56-46e9-8675-337c2a505626,Mapillary,147369440641978,0.3437,0.0443,0.0415,0.0013,0.0097,0.0091,0.0,0.0049,0.2293,0.1109,0.0958,0.0009,0.0,0.1072,0.0015,0.0,0.0,0.0,0.0,0.0
25,278347a2-48df-4d48-9f06-f1c5c937fca8,Mapillary,297817391952511,0.4013,0.0905,0.412,0.0,0.0003,0.0014,0.0,0.0002,0.0,0.0,0.0,0.0677,0.0,0.003,0.01,0.0001,0.0,0.0021,0.0115,0.0
26,22deb7a3-0fc5-4723-9945-08e246b2e05c,Mapillary,162368295825256,0.3572,0.047,0.4532,0.0,0.0,0.0063,0.0,0.0008,0.0001,0.0,0.0275,0.0008,0.0,0.1071,0.0,0.0,0.0,0.0,0.0001,0.0
27,22aab2fb-fcc3-47d6-a857-70227723494c,Mapillary,500236801200574,0.0614,0.0094,0.3822,0.0,0.0046,0.0006,0.0,0.0005,0.0185,0.0,0.3743,0.0,0.0,0.141,0.0076,0.0,0.0001,0.0,0.0,0.0
28,21da6685-c215-4b47-9a7d-8fefb790fcb2,Mapillary,2935461220075965,0.1383,0.0124,0.0141,0.02,0.0084,0.0045,0.0,0.0004,0.2306,0.0,0.2482,0.0,0.0,0.3228,0.0003,0.0,0.0,0.0,0.0,0.0
29,19c9cb57-4eb9-452a-966f-3da37a6a8a8a,Mapillary,908523803329750,0.1915,0.0938,0.6302,0.0,0.0,0.0064,0.0,0.0003,0.013,0.0,0.0614,0.0008,0.0,0.0019,0.0,0.0,0.0,0.0,0.0007,0.0
30,175b878c-d03a-4655-b02f-759312fe58cc,Mapillary,1351283651916585,0.2796,0.1183,0.252,0.0,0.001,0.0033,0.0003,0.0022,0.2111,0.0087,0.0543,0.0265,0.0,0.0424,0.0,0.0,0.0,0.0002,0.0,0.0
31,112eaf30-08be-450a-82f0-ebe271c1027a,Mapillary,776765546363571,0.3676,0.0303,0.0002,0.0567,0.0,0.0052,0.0001,0.0018,0.3578,0.0119,0.1589,0.0,0.0,0.0092,0.0002,0.0,0.0,0.0,0.0,0.0
32,08291c85-45e9-4b7e-9c7f-8319df8cacaa,Mapillary,1032840184186814,0.1475,0.1282,0.1233,0.0071,0.0194,0.0059,0.0,0.0006,0.0474,0.0317,0.3334,0.0014,0.0006,0.1379,0.0,0.0,0.0001,0.0104,0.005,0.0
33,05752827-e598-41ab-b2ad-4db807a6b54a,Mapillary,982334042549854,0.3644,0.0975,0.2468,0.0132,0.0071,0.0034,0.0009,0.0039,0.022,0.0,0.1854,0.023,0.0143,0.0004,0.0019,0.0,0.0,0.0001,0.0158,0.0
34,013626b6-b16f-44d4-b3cc-909b58841580,Mapillary,523933542098228,0.4121,0.0065,0.0317,0.0079,0.0067,0.0181,0.0003,0.0,0.1883,0.1428,0.1085,0.0003,0.0003,0.0747,0.0,0.0,0.0015,0.0,0.0002,0.0
35,009700da-2ab7-4e51-96ed-7bc3bc8df153,Mapillary,524061098757516,0.0039,0.0168,0.0027,0.0044,0.252,0.044,0.0,0.0088,0.2373,0.0044,0.4254,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,eb94b1f3-8f42-450f-affc-aae9824b58fe,KartaView,1504505833,0.3615,0.001,0.0027,0.0004,0.0,0.0,0.0,0.0009,0.3583,0.1273,0.1272,0.0197,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0
37,d919a705-e19d-4924-9c61-ca66378d49d7,KartaView,1504508409,0.3048,0.0525,0.4095,0.0001,0.0,0.0019,0.0001,0.0046,0.0636,0.0,0.0899,0.0157,0.0195,0.0211,0.0,0.0,0.0,0.0,0.0165,0.0
38,6a6fc3fb-a4fc-482d-96dd-b8be1c66e74d,KartaView,440181229,0.3132,0.0564,0.4011,0.0001,0.0,0.0023,0.0,0.0,0.0423,0.0111,0.103,0.0,0.0,0.0706,0.0,0.0,0.0,0.0,0.0,0.0
39,195a2083-f4bb-40b8-96cf-06779a7f20b9,KartaView,1504508985,0.0061,0.0125,0.8508,0.0171,0.0,0.0,0.0,0.0,0.0632,0.0343,0.0158,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
